nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Japón,125800000,377975,Asia
Brasil,214000000,8515767,América
Alemania,84100000,357022,Europa
Estados Unidos,331900000,9833520,América
Canadá,38900000,9984670,América
México,128900000,1964375,América
Chile,19600000,756102,América
Colombia,52000000,1141748,América
Perú,34000000,1285216,América
Reino Unido,67700000,243610,Europa
Francia,65200000,551695,Europa
Italia,59000000,301340,Europa
España,47400000,505990,Europa
Rusia,144000000,17098242,Europa
China,1412000000,9596961,Asia
India,1428000000,3287263,Asia
Corea del Sur,51700000,100210,Asia
Indonesia,277000000,1904569,Asia
Arabia Saudita,36000000,2149690,Asia
Egipto,109000000,1002450,África
Nigeria,223000000,923768,África
Sudáfrica,60000000,1221037,África
Kenia,55000000,580367,África
Australia,26400000,7692024,Oceanía
Nueva Zelanda,5200000,268021,Oceanía
